Topic,BM25_MAP,BM25_P@10,BM25_DCG@10,JM_LM_MAP,JM_LM_P@10,JM_LM_DCG@10,MY_PRM_MAP,MY_PRM_P@10,MY_PRM_DCG@10
R101,0.43974180581323435,0.5,1.7940702235449721,0.804112554112554,0.5,2.8506711379627383,0.8386904761904761,0.6,3.206878325070761
R102,0.7391822372764881,0.6,2.4412107161212013,0.7014824766514469,0.4,2.2023176840202705,0.5545156432185595,0.5,1.891858204461626
R103,0.3581676729274138,0.4,1.4212470741787298,0.24228592863375,0.3,1.0879137408453965,0.2477145648280863,0.2,1.0616063116448506
R104,0.8882732000313384,1.0,4.543559338088346,0.6379551449146824,0.5,1.9671660104124487,0.5280967408464645,0.3,0.9769476292164108
R105,0.8117570782842124,0.9,4.156706530853804,0.6098968852705267,0.6,2.3080998814132716,0.5301620188337869,0.4,1.4769476292164108
R106,0.6777777777777778,0.3,2.0177825608059994,0.3317550505050505,0.1,1.0,0.34200581395348834,0.2,1.2890648263178879
R107,0.4201388888888889,0.1,1.0,0.32083333333333336,0.2,1.0177825608059992,0.05214646464646464,0.0,0.0
R108,0.1799043062200957,0.1,0.38685280723454163,0.19266381766381765,0.2,0.6164948724497099,0.09045584045584044,0.0,0.0
R109,0.7242655453496415,0.7,3.2409575206231374,0.656323224421927,0.7,3.4091960090910316,0.4480152088414894,0.5,2.011434517427894
R110,0.13625371360665478,0.0,0.0,0.7061302681992337,0.4,2.431959749235439,0.6566233766233766,0.4,2.2533279132226784
R111,0.15048840048840048,0.0,0.0,0.10056022408963584,0.0,0.0,0.07651821862348178,0.0,0.0
R112,0.627020202020202,0.5,2.23752394519728,0.9583333333333334,0.6,3.263923995665121,0.8888888888888888,0.5,2.9484591188793923
R113,0.5624594326978103,0.6,2.9785194510176387,0.5277799001140455,0.5,2.6894546246997506,0.37049031906875035,0.4,1.806847387123887
R114,0.805194805194805,0.4,2.4642630869047912,0.9428571428571428,0.5,2.894939644978184,0.33276397515527945,0.3,1.2797279636905197
R115,0.4685714285714286,0.2,1.3333333333333333,0.1884920634920635,0.1,0.5,0.11499999999999999,0.1,0.2890648263178879
R116,0.5157339762910877,0.6,3.070857278530614,0.24272173353970794,0.0,0.0,0.21993797445510532,0.0,0.0
R117,0.7916666666666666,0.3,1.9463946303571862,0.5444444444444444,0.3,1.64527201342591,0.4935897435897436,0.2,1.3154648767857289
R118,0.5277777777777778,0.3,1.6164948724497101,0.4797979797979797,0.2,1.1309297535714575,0.41421568627450983,0.1,1.0
R119,0.20491452991452994,0.1,0.38685280723454163,0.1757878151260504,0.1,0.31546487678572877,0.1443007972419737,0.0,0.0
R120,0.22798531271073072,0.3,1.0900948219818691,0.3190678911731543,0.2,1.3154648767857289,0.28148392843160286,0.3,1.0585248711282924
R121,0.5581025304796944,0.5,2.8046663059874146,0.623484171255785,0.6,3.2817924522127258,0.5584480526444813,0.6,3.105696301651396
R122,0.5230333115764084,0.6,2.3698227856723886,0.6781356678324642,0.5,2.862636307308832,0.3152294224124106,0.4,1.4220590684115513
R123,0.22690217391304346,0.1,0.6309297535714575,0.4551282051282051,0.2,1.3154648767857289,0.06770025839793281,0.0,0.0
R124,0.31212121212121213,0.2,1.0177825608059992,0.36921296296296297,0.3,1.4319597492354388,0.22375541125541124,0.1,0.5
R125,0.6287781084656084,0.7,3.4105650959946825,0.43876035306338407,0.5,1.8225347625350188,0.3559286838892102,0.3,0.9786053467592434
R126,0.5546789215211195,0.5,1.9092819048326364,0.5757578949888646,0.6,2.0257767772823465,0.7979786835703017,0.8,3.8412416540680754
R127,0.27296703296703295,0.2,0.719741384391281,0.275974025974026,0.2,0.671672063893751,0.13061823099145614,0.0,0.0
R128,0.3996732026143791,0.2,1.2890648263178879,0.1845238095238095,0.1,0.3562071871080222,0.1416857448107448,0.1,0.3010299956639812
R129,0.5220563508000013,0.6,2.922059068411551,0.4021706643102789,0.4,1.6665807709250613,0.0,0.0,0.0
R130,1.0,0.3,2.1309297535714578,0.7555555555555555,0.3,1.8868528072345416,0.20128205128205132,0.1,0.43067655807339306
R131,0.18437499999999998,0.1,0.43067655807339306,0.2400691699604743,0.2,0.8175293653079347,0.13332336523125995,0.1,0.31546487678572877
R132,0.4592279188098004,0.3,1.9199945798893454,0.21453464671498512,0.2,0.7201861405678749,0.18644051578502796,0.2,1.0177825608059992
R133,0.28296703296703296,0.3,1.0650398870707076,0.41351981351981343,0.2,1.3868528072345416,0.12805171530977982,0.1,0.2890648263178879
R134,0.2526613965744401,0.2,0.8175293653079347,0.32660624265378085,0.1,1.0,0.2627902774012831,0.2,0.9306765580733931
R135,0.3825613838021262,0.3,0.9498282057830434,0.5172015317224488,0.3,1.7890648263178879,0.8471755901103728,0.9,4.210226004755013
R136,0.3964432728219493,0.3,1.394939644978184,0.48354256854256855,0.3,1.9319597492354388,0.17251097554406378,0.1,0.3010299956639812
R137,0.43333333333333335,0.3,1.3506711379627385,1.0,0.3,2.1309297535714578,0.4166666666666667,0.2,1.0616063116448506
R138,0.499295839637307,0.4,2.288166936343461,0.3338957060761572,0.2,1.3868528072345416,0.05916912801906498,0.0,0.0
R139,0.5317460317460317,0.3,1.4642630869047908,0.5666666666666667,0.2,1.4306765580733931,0.17539682539682536,0.1,0.43067655807339306
R140,0.34160865793992734,0.2,0.8175293653079347,0.2259166872102031,0.1,0.31546487678572877,0.1781860008818896,0.1,0.43067655807339306
R141,0.6174236453627423,0.7,2.85401881764699,0.614460595158424,0.5,2.707323081247355,0.38074641998635844,0.2,0.6759176335524295
R142,0.22566526610644258,0.2,0.7640098914067264,0.20625,0.1,0.5,0.34290382819794585,0.1,1.0
R143,0.11255675219089854,0.1,0.2890648263178879,0.12064393939393939,0.0,0.0,0.08540491854636592,0.0,0.0
R144,0.16628238910847606,0.1,0.2890648263178879,0.24613216895825593,0.3,1.0207713800552622,0.15802372382832153,0.0,0.0
R145,0.24157125651183375,0.1,1.0,0.050664093200578374,0.0,0.0,0.07646642793563285,0.0,0.0
R146,0.5430096854093509,0.5,2.238893032100931,0.3481407880304314,0.3,0.9905705161053366,0.29932832149297117,0.1,0.3333333333333333
R147,0.38824166030048374,0.2,1.3562071871080221,0.0848852405456179,0.0,0.0,0.12455637564358225,0.0,0.0
R148,0.4671221913191727,0.3,1.4642630869047908,0.39247406103603105,0.1,0.5,0.5223879968443372,0.5,2.5794747681924552
R149,0.2542857142857143,0.3,1.0321248206604516,0.25142857142857145,0.3,1.0212161362318561,0.19833333333333333,0.1,0.5
R150,0.37087912087912084,0.2,1.1309297535714575,0.306547619047619,0.3,1.2474246260211674,0.38514492753623186,0.2,1.1309297535714575
Average,0.44813690304147735,0.3439999999999999,1.6449755889534228,0.42771129264271546,0.282,1.4173070362131888,0.3110249910622537,0.21199999999999986,0.9930464612795038
